ROI #,angle of global coherency,angle of global coherency in degree,subfolder,input image,age
1,0.81223,46.5376,P10_1,H53_10_P10_J4_003_M.bmp,P10
2,0.86186,49.381,P10_1,H53_10_P10_J4_003_M.bmp,P10
3,0.7378,42.273,P10_1,H53_10_P10_J4_003_M.bmp,P10
4,-0.88414,129.3424,P10_1,H53_10_P10_J4_003_M.bmp,P10
5,1.0158,58.1993,P10_1,H53_10_P10_J4_003_M.bmp,P10
6,0.70833,40.5845,P10_1,H53_10_P10_J4_003_M.bmp,P10
7,0.83168,47.6517,P10_1,H53_10_P10_J4_003_M.bmp,P10
1,0.50634,29.0113,P10_1,H53_10_P10_J4_004_M.bmp,P10
2,0.74683,42.7902,P10_1,H53_10_P10_J4_004_M.bmp,P10
3,0.59646,34.1744,P10_1,H53_10_P10_J4_004_M.bmp,P10
4,-0.027458,178.4268,P10_1,H53_10_P10_J4_004_M.bmp,P10
5,0.63138,36.1753,P10_1,H53_10_P10_J4_004_M.bmp,P10
6,0.96128,55.0773,P10_1,H53_10_P10_J4_004_M.bmp,P10
1,0.086673,4.966,P10_1,H53_10_P10_J4_005_M.bmp,P10
2,0.17377,9.9561,P10_1,H53_10_P10_J4_005_M.bmp,P10
3,0.80431,46.0833,P10_1,H53_10_P10_J4_005_M.bmp,P10
1,0.77695,44.5161,P10_1,H53_10_P10_J4_006_M.bmp,P10
2,0.74291,42.5654,P10_1,H53_10_P10_J4_006_M.bmp,P10
3,1.0331,59.1946,P10_1,H53_10_P10_J4_006_M.bmp,P10
4,0.86257,49.4216,P10_1,H53_10_P10_J4_006_M.bmp,P10
