ROI #,angle of global coherency,angle of global coherency in degree,subfolder,input image,age
1,-1.3039,105.2947,P8_Tier2,H1_7_P8_Tier2_B6_003.bmp,P8
1,-0.056513,176.762,P8_Tier2,H1_7_P8_Tier2_B6_006.bmp,P8
1,-0.12428,172.8795,P8_Tier2,H1_7_P8_Tier2_B6_010.bmp,P8
1,-1.4754,95.4686,P8_Tier2,H1_7_P8_Tier2_B6_013.bmp,P8
1,-1.0317,120.8858,P8_Tier2,H1_7_P8_Tier2_B6_014.bmp,P8
2,-1.4638,96.128,P8_Tier2,H1_7_P8_Tier2_B6_014.bmp,P8
1,-0.98802,123.3905,P8_Tier2,H1_7_P8_Tier2_B6_020.bmp,P8
2,-0.80021,134.1513,P8_Tier2,H1_7_P8_Tier2_B6_020.bmp,P8
3,-0.37393,158.5753,P8_Tier2,H1_7_P8_Tier2_B6_020.bmp,P8
1,0.014135,0.80985,P8_Tier2,H1_7_P8_Tier2_B6_025.bmp,P8
2,0.57375,32.8735,P8_Tier2,H1_7_P8_Tier2_B6_025.bmp,P8
1,-0.70217,139.7685,P8_Tier2,H1_7_P8_Tier2_B6_034.bmp,P8
2,-0.25914,165.1522,P8_Tier2,H1_7_P8_Tier2_B6_034.bmp,P8
3,-1.2257,109.7752,P8_Tier2,H1_7_P8_Tier2_B6_034.bmp,P8
1,-0.31538,161.9301,P8_Tier2,H1_7_P8_Tier2_B6_035.bmp,P8
1,-0.011933,179.3163,P8_Tier2,H1_7_P8_Tier2_B6_040.bmp,P8
1,-0.26371,164.8903,P8_Tier2,H1_7_P8_Tier2_B6_041.bmp,P8
1,-0.30159,162.72,P8_Tier2,H1_7_P8_Tier2_B6_045.bmp,P8
2,-0.27248,164.3878,P8_Tier2,H1_7_P8_Tier2_B6_045.bmp,P8
1,-0.26322,164.9187,P8_Tier2,H1_7_P8_Tier2_B6_053.bmp,P8
2,0.15603,8.9397,P8_Tier2,H1_7_P8_Tier2_B6_053.bmp,P8
3,-0.50845,150.8677,P8_Tier2,H1_7_P8_Tier2_B6_053.bmp,P8
4,0.11471,6.5723,P8_Tier2,H1_7_P8_Tier2_B6_053.bmp,P8
