ROI #,angle of global coherency,angle of global coherency in degree,subfolder,input image,age
1,1.3057,74.8088,P16,H55_17_P16m_R3_004_M.bmp,P16
2,1.2994,74.4494,P16,H55_17_P16m_R3_004_M.bmp,P16
3,1.3377,76.6419,P16,H55_17_P16m_R3_004_M.bmp,P16
4,1.335,76.4896,P16,H55_17_P16m_R3_004_M.bmp,P16
5,1.3246,75.8961,P16,H55_17_P16m_R3_004_M.bmp,P16
6,1.0976,62.8879,P16,H55_17_P16m_R3_004_M.bmp,P16
7,1.3553,77.6511,P16,H55_17_P16m_R3_004_M.bmp,P16
8,1.0429,59.753,P16,H55_17_P16m_R3_004_M.bmp,P16
9,1.1487,65.817,P16,H55_17_P16m_R3_004_M.bmp,P16
10,1.1433,65.5064,P16,H55_17_P16m_R3_004_M.bmp,P16
1,1.3148,75.3347,P16,H55_17_P16m_R3_005_M.bmp,P16
2,1.1177,64.0383,P16,H55_17_P16m_R3_005_M.bmp,P16
3,1.2644,72.4464,P16,H55_17_P16m_R3_005_M.bmp,P16
4,1.1958,68.5138,P16,H55_17_P16m_R3_005_M.bmp,P16
5,1.1608,66.5066,P16,H55_17_P16m_R3_005_M.bmp,P16
6,1.22,69.8999,P16,H55_17_P16m_R3_005_M.bmp,P16
7,1.4662,84.0056,P16,H55_17_P16m_R3_005_M.bmp,P16
8,1.2169,69.7249,P16,H55_17_P16m_R3_005_M.bmp,P16
9,1.1944,68.4335,P16,H55_17_P16m_R3_005_M.bmp,P16
10,1.2174,69.7543,P16,H55_17_P16m_R3_005_M.bmp,P16
11,1.4078,80.6626,P16,H55_17_P16m_R3_005_M.bmp,P16
1,1.0709,61.3577,P16,H55_17_P16m_R3_006_M.bmp,P16
2,1.1812,67.6795,P16,H55_17_P16m_R3_006_M.bmp,P16
3,1.1343,64.9919,P16,H55_17_P16m_R3_006_M.bmp,P16
4,1.0299,59.0104,P16,H55_17_P16m_R3_006_M.bmp,P16
5,1.0924,62.5871,P16,H55_17_P16m_R3_006_M.bmp,P16
6,1.0459,59.9248,P16,H55_17_P16m_R3_006_M.bmp,P16
7,0.79123,45.3343,P16,H55_17_P16m_R3_006_M.bmp,P16
8,1.0745,61.5658,P16,H55_17_P16m_R3_006_M.bmp,P16
9,1.3049,74.7673,P16,H55_17_P16m_R3_006_M.bmp,P16
