ROI #,angle of global coherency,angle of global coherency in degree,subfolder,input image,age
1,-0.77929,135.3497,P10_3,H53_17_P10_K4_036_M.bmp,P10
2,0.22868,13.1025,P10_3,H53_17_P10_K4_036_M.bmp,P10
3,0.031087,1.7812,P10_3,H53_17_P10_K4_036_M.bmp,P10
4,0.68057,38.9937,P10_3,H53_17_P10_K4_036_M.bmp,P10
5,0.048167,2.7598,P10_3,H53_17_P10_K4_036_M.bmp,P10
1,-1.1681,113.0729,P10_3,H53_17_P10_K4_046_M.bmp,P10
2,0.26803,15.3571,P10_3,H53_17_P10_K4_046_M.bmp,P10
3,0.24477,14.0242,P10_3,H53_17_P10_K4_046_M.bmp,P10
4,-0.066952,176.1639,P10_3,H53_17_P10_K4_046_M.bmp,P10
5,1.0751,61.5966,P10_3,H53_17_P10_K4_046_M.bmp,P10
1,1.2381,70.937,P10_3,H53_17_P10_K4_051_M.bmp,P10
2,0.11472,6.5729,P10_3,H53_17_P10_K4_051_M.bmp,P10
3,0.20586,11.7946,P10_3,H53_17_P10_K4_051_M.bmp,P10
4,0.46477,26.6293,P10_3,H53_17_P10_K4_051_M.bmp,P10
1,-0.031876,178.1737,P10_3,H53_17_P10_K4_003_M.bmp,P10
2,-0.0079106,179.5468,P10_3,H53_17_P10_K4_003_M.bmp,P10
3,0.68387,39.1831,P10_3,H53_17_P10_K4_003_M.bmp,P10
4,0.53844,30.8503,P10_3,H53_17_P10_K4_003_M.bmp,P10
5,0.18531,10.6177,P10_3,H53_17_P10_K4_003_M.bmp,P10
6,-0.25618,165.3222,P10_3,H53_17_P10_K4_003_M.bmp,P10
1,0.39353,22.5475,P10_3,H53_17_P10_K4_015_M.bmp,P10
2,-0.12105,173.0643,P10_3,H53_17_P10_K4_015_M.bmp,P10
3,-0.28583,163.6231,P10_3,H53_17_P10_K4_015_M.bmp,P10
4,0.18913,10.8366,P10_3,H53_17_P10_K4_015_M.bmp,P10
1,-0.63088,143.853,P10_3,H53_17_P10_K4_025_M.bmp,P10
2,-0.39641,157.2873,P10_3,H53_17_P10_K4_025_M.bmp,P10
3,0.71953,41.2259,P10_3,H53_17_P10_K4_025_M.bmp,P10
4,0.78326,44.8775,P10_3,H53_17_P10_K4_025_M.bmp,P10
5,-0.15043,171.381,P10_3,H53_17_P10_K4_025_M.bmp,P10
6,0.40673,23.3036,P10_3,H53_17_P10_K4_025_M.bmp,P10
7,0.39571,22.6727,P10_3,H53_17_P10_K4_025_M.bmp,P10
