ROI #,angle of global coherency,angle of global coherency in degree,subfolder,input image,age
1,0.9807,56.1898,P20_Tier1,G77_10_P20_E9_003_M.bmp,P20
2,1.2682,72.66,P20_Tier1,G77_10_P20_E9_003_M.bmp,P20
3,1.4096,80.762,P20_Tier1,G77_10_P20_E9_003_M.bmp,P20
4,1.2273,70.3186,P20_Tier1,G77_10_P20_E9_003_M.bmp,P20
5,0.82722,47.3962,P20_Tier1,G77_10_P20_E9_003_M.bmp,P20
6,1.3648,78.1973,P20_Tier1,G77_10_P20_E9_003_M.bmp,P20
7,1.1835,67.811,P20_Tier1,G77_10_P20_E9_003_M.bmp,P20
1,1.1805,67.6398,P20_Tier1,G77_10_P20_E9_004_M.bmp,P20
2,0.81546,46.7222,P20_Tier1,G77_10_P20_E9_004_M.bmp,P20
3,-1.5317,92.2405,P20_Tier1,G77_10_P20_E9_004_M.bmp,P20
4,1.2249,70.1805,P20_Tier1,G77_10_P20_E9_004_M.bmp,P20
5,1.1389,65.2542,P20_Tier1,G77_10_P20_E9_004_M.bmp,P20
6,1.2512,71.6882,P20_Tier1,G77_10_P20_E9_004_M.bmp,P20
7,1.2564,71.9863,P20_Tier1,G77_10_P20_E9_004_M.bmp,P20
1,1.3413,76.8482,P20_Tier1,G77_10_P20_E9_005_M.bmp,P20
2,1.2966,74.2879,P20_Tier1,G77_10_P20_E9_005_M.bmp,P20
3,1.5609,89.431,P20_Tier1,G77_10_P20_E9_005_M.bmp,P20
4,1.0324,59.1526,P20_Tier1,G77_10_P20_E9_005_M.bmp,P20
5,0.82933,47.5172,P20_Tier1,G77_10_P20_E9_005_M.bmp,P20
6,1.2562,71.9727,P20_Tier1,G77_10_P20_E9_005_M.bmp,P20
7,1.059,60.6765,P20_Tier1,G77_10_P20_E9_005_M.bmp,P20
