ROI #,angle of global coherency,angle of global coherency in degree,subfolder,input image,age
1,-0.90133,128.3575,P12_Tier2,G92_5_P12_Tier2_D4_051_M.bmp,P12
2,-1.0244,121.3039,P12_Tier2,G92_5_P12_Tier2_D4_051_M.bmp,P12
3,0.68085,39.0098,P12_Tier2,G92_5_P12_Tier2_D4_051_M.bmp,P12
4,1.4933,85.5597,P12_Tier2,G92_5_P12_Tier2_D4_051_M.bmp,P12
1,-0.003424,179.8038,P12_Tier2,G92_5_P12_Tier2_D4_069_M.bmp,P12
2,-0.42705,155.5318,P12_Tier2,G92_5_P12_Tier2_D4_069_M.bmp,P12
3,-0.53902,149.1166,P12_Tier2,G92_5_P12_Tier2_D4_069_M.bmp,P12
4,-0.86883,130.2195,P12_Tier2,G92_5_P12_Tier2_D4_069_M.bmp,P12
1,0.65793,37.6967,P12_Tier2,G92_5_P12_Tier2_D4_070_M.bmp,P12
2,-0.34085,160.4708,P12_Tier2,G92_5_P12_Tier2_D4_070_M.bmp,P12
3,-0.54485,148.7825,P12_Tier2,G92_5_P12_Tier2_D4_070_M.bmp,P12
4,-0.71547,139.0064,P12_Tier2,G92_5_P12_Tier2_D4_070_M.bmp,P12
5,-0.93483,126.4379,P12_Tier2,G92_5_P12_Tier2_D4_070_M.bmp,P12
1,1.0451,59.881,P12_Tier2,G92_5_P12_Tier2_D4_023_M.bmp,P12
2,-0.14401,171.7489,P12_Tier2,G92_5_P12_Tier2_D4_023_M.bmp,P12
3,1.397,80.0396,P12_Tier2,G92_5_P12_Tier2_D4_023_M.bmp,P12
4,0.73526,42.1271,P12_Tier2,G92_5_P12_Tier2_D4_023_M.bmp,P12
1,-0.67323,141.4269,P12_Tier2,G92_5_P12_Tier2_D4_030_M.bmp,P12
2,0.15145,8.6776,P12_Tier2,G92_5_P12_Tier2_D4_030_M.bmp,P12
3,0.12266,7.028,P12_Tier2,G92_5_P12_Tier2_D4_030_M.bmp,P12
4,0.53174,30.4664,P12_Tier2,G92_5_P12_Tier2_D4_030_M.bmp,P12
1,-1.0091,122.1813,P12_Tier2,G92_5_P12_Tier2_D4_071_M.bmp,P12
2,-0.12387,172.9027,P12_Tier2,G92_5_P12_Tier2_D4_071_M.bmp,P12
3,-0.017026,179.0245,P12_Tier2,G92_5_P12_Tier2_D4_071_M.bmp,P12
4,-0.96964,124.4437,P12_Tier2,G92_5_P12_Tier2_D4_071_M.bmp,P12
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
