ROI #,angle of global coherency,angle of global coherency in degree,subfolder,input image,age
1,-1.0841,117.8837,P20_Tier3,H55_28_P20m_S4_014_M.bmp,P20
2,-0.8082,133.6935,P20_Tier3,H55_28_P20m_S4_014_M.bmp,P20
3,-0.80692,133.7666,P20_Tier3,H55_28_P20m_S4_014_M.bmp,P20
4,-1.1286,115.338,P20_Tier3,H55_28_P20m_S4_014_M.bmp,P20
5,-0.99695,122.8788,P20_Tier3,H55_28_P20m_S4_014_M.bmp,P20
6,-0.92102,127.2297,P20_Tier3,H55_28_P20m_S4_014_M.bmp,P20
7,1.0379,59.4683,P20_Tier3,H55_28_P20m_S4_014_M.bmp,P20
8,-1.1053,116.6727,P20_Tier3,H55_28_P20m_S4_014_M.bmp,P20
9,-1.1556,113.7896,P20_Tier3,H55_28_P20m_S4_014_M.bmp,P20
10,-1.2056,110.9241,P20_Tier3,H55_28_P20m_S4_014_M.bmp,P20
1,-0.39993,157.0856,P20_Tier3,H55_28_P20m_S4_006_M.bmp,P20
2,-0.46024,153.63,P20_Tier3,H55_28_P20m_S4_006_M.bmp,P20
3,-0.47801,152.6119,P20_Tier3,H55_28_P20m_S4_006_M.bmp,P20
4,-0.36694,158.9759,P20_Tier3,H55_28_P20m_S4_006_M.bmp,P20
5,-0.58059,146.7348,P20_Tier3,H55_28_P20m_S4_006_M.bmp,P20
6,-0.44718,154.3784,P20_Tier3,H55_28_P20m_S4_006_M.bmp,P20
7,-0.54739,148.6368,P20_Tier3,H55_28_P20m_S4_006_M.bmp,P20
8,-0.81556,133.272,P20_Tier3,H55_28_P20m_S4_006_M.bmp,P20
9,-0.66167,142.0891,P20_Tier3,H55_28_P20m_S4_006_M.bmp,P20
