ROI #,angle of global coherency,angle of global coherency in degree,subfolder,input image,age
1,-0.99402,123.0469,P12_Tier3,G92_7_P12_D10_003_M.bmp,P12
2,-0.82924,132.4882,P12_Tier3,G92_7_P12_D10_003_M.bmp,P12
3,-0.99583,122.9433,P12_Tier3,G92_7_P12_D10_003_M.bmp,P12
4,-0.84193,131.761,P12_Tier3,G92_7_P12_D10_003_M.bmp,P12
5,-1.1997,111.2648,P12_Tier3,G92_7_P12_D10_003_M.bmp,P12
6,-0.79427,134.492,P12_Tier3,G92_7_P12_D10_003_M.bmp,P12
7,-0.86194,130.6146,P12_Tier3,G92_7_P12_D10_003_M.bmp,P12
1,-1.2629,107.6417,P12_Tier3,G92_7_P12_D10_010_M.bmp,P12
2,-1.4227,98.4843,P12_Tier3,G92_7_P12_D10_010_M.bmp,P12
3,1.3926,79.79,P12_Tier3,G92_7_P12_D10_010_M.bmp,P12
4,1.3203,75.6452,P12_Tier3,G92_7_P12_D10_010_M.bmp,P12
5,1.3942,79.8812,P12_Tier3,G92_7_P12_D10_010_M.bmp,P12
6,1.431,81.9913,P12_Tier3,G92_7_P12_D10_010_M.bmp,P12
7,1.5658,89.7134,P12_Tier3,G92_7_P12_D10_010_M.bmp,P12
1,-1.0573,119.4194,P12_Tier3,G92_7_P12_D10_015_M.bmp,P12
1,-1.3182,104.4724,P12_Tier3,G92_7_P12_D10_021_M.bmp,P12
2,-1.4953,94.328,P12_Tier3,G92_7_P12_D10_021_M.bmp,P12
3,0.36528,20.9289,P12_Tier3,G92_7_P12_D10_021_M.bmp,P12
4,1.3993,80.1725,P12_Tier3,G92_7_P12_D10_021_M.bmp,P12
5,-1.2841,106.4286,P12_Tier3,G92_7_P12_D10_021_M.bmp,P12
6,-1.5554,90.8848,P12_Tier3,G92_7_P12_D10_021_M.bmp,P12
