image_id,age,max_intensity,mean_intensity,median_intensity,minimum_intensity,sigma_intensity,sum_intensity,variance_intensity,flatness,elongation,sphericity,solidity,bbox_width,bbox_height,bbox_depth,equivalent_ellipsoid_diameter_depth,equivalent_ellipsoid_diameter_width,equivalent_ellipsoid_diameter_height,equivalent_spherical_perimeter,equivalent_spherical_radius,feret_diamter,perimeter_2d,major_axis_length_2d,minor_axis_length_2d,surface_area,bbox_volume,convex_volume_rescaled,volume,label,genotype,summed_volume
0,8.0,435.32323232323233,231.81565358151005,215.5446259469697,136.8080808080808,67.4789923387781,50966.181818181816,8476.601949579855,1.5254590941557329,1.5404999744947463,0.9760597111440033,0.815541425287568,1.8303333333333327,2.0717676767676765,2.544848484848485,1.3003900364188408,1.9475659332841904,2.943425072643821,41.89712174485998,0.9691584310163046,2.7985364785784665,6.422570473248506,2.481627512895592,1.372440906271989,19.03756959302538,17.155821768353537,8.109028431727275,5.6708396789899,99,cpfl,563.030645036
1,8.0,460.7096774193548,224.38005492101607,206.1292422715053,126.63440860215054,70.9851090804695,56809.06451612903,8270.087835696797,1.6293870381923243,1.492952322424366,0.8754382999925548,0.795868919634965,2.361720430107527,2.1151290322580643,2.778494623655914,1.3708860938160523,2.153062867185262,3.2309495887398567,48.90806250872912,1.0511651012520955,3.1622195411709217,7.325543284267225,2.8413185002845043,1.4736257589108943,24.35552637860156,21.93322365351613,10.160933367892474,6.959598002892474,93,cpfl,648.556846682
2,8.0,510.3709677419355,252.9258576389352,232.6796875,141.6451612903226,81.9421294363398,46226.91935483871,12177.344482134473,1.4781676919351143,1.5760097432990294,1.013068784987634,0.8456218502963386,1.7296129032258063,1.7973387096774194,2.485016129032258,1.2591659252858,1.809925105030054,2.8369060634181267,37.82222243909032,0.9228417698942168,2.613555634235351,5.670415051128596,2.1526912051261498,1.2951058123800283,16.5773066994495,13.719542832483873,6.730957073032259,4.823200344483872,62,cpfl,300.083067635
3,14.0,608.1862068965518,293.0620639182433,266.6163793103448,157.94827586206895,99.98589857273652,94890.18620689656,16773.811155084946,1.415236014632125,1.7196266894767969,0.9230582362732324,0.8073706436648189,1.988120689655172,3.2678689655172413,2.3567862068965515,1.4982516118618143,2.0785920603129937,3.685341182804775,55.40132745276996,1.1049966338657564,3.527489354428582,8.747192621244437,3.5317248993926693,1.5853321503034477,27.0553332232938,25.99612137392759,12.821609588896552,8.65754959598276,290,cpfl,3659.193718729001
4,14.0,648.1805555555555,298.26415159196694,268.2511574074074,154.0185185185185,107.24312586171764,104264.39351851853,18925.97659898,1.424420477107039,1.665247378021154,0.9009015862967572,0.7907939336459363,2.4479212962962964,3.031115740740741,2.4060509259259257,1.566702649584415,2.1803435458235505,3.665123200899126,57.82612231382502,1.1385006347689883,3.563165613356236,9.041930676290162,3.5246403816841925,1.744031383150255,27.524134893604188,29.736536480564816,13.434219766837964,9.092603691175928,216,cpfl,3710.954256841
5,14.0,546.7481481481482,272.0738869903504,250.41427951388889,153.17037037037036,86.00651904373704,84179.6,11148.498631084549,1.4647118325021922,1.755708104438117,0.9125652008421804,0.7849903228304846,2.1533333333333333,3.1390814814814814,2.272962962962964,1.4168273673207616,2.031472096513838,3.678324072172713,53.608124615385535,1.076958162892352,3.493252531970722,8.949499991199042,3.568040305596259,1.5596672710982906,27.394193351115103,29.199423547103702,13.371971579185184,8.435549888874075,135,cpfl,2371.8525227950004
6,20.0,487.5655172413793,243.96316586269964,224.5487607758621,130.99310344827586,77.41782562757771,106942.24827586208,9129.42038161933,1.4881828010995,1.6839612925834653,0.8040586212354174,0.7782244792486017,2.5194,3.508448275862069,2.753296551724138,1.6577551038645448,2.3841601122014904,4.102233244505293,69.31871816116123,1.2432040316653006,4.012502404231988,10.161918291116873,3.974969264926593,1.8374454614332647,36.02947900593316,39.58779446423448,18.37926722364138,11.898974278620692,145,cpfl,2115.0380299880003
7,20.0,442.2378048780488,228.04859390045016,211.73828125,126.2439024390244,69.43600531624783,77319.28658536586,6960.528745121912,1.6128743838346251,1.6337849981656918,0.8634954376462991,0.8070065324982939,2.219640243902439,3.2280304878048782,2.6529329268292683,1.4904503168632115,2.3325465359457147,3.931442907776722,60.451047486008086,1.1744192469343964,3.703005080400824,8.767229787198385,3.694451141880456,1.541158879443392,28.744134458171043,31.292334022542686,13.436362057298782,9.488527887353658,164,cpfl,1804.643292651
8,20.0,359.1483870967742,191.6219034938774,179.64725302419356,108.3483870967742,52.76960023182846,78788.92903225806,4414.103336480547,1.4775688740515955,1.6647379515123648,0.84471231405391,0.7786645052100194,2.2880903225806453,3.50923870967742,2.5506580645161288,1.5904831079025072,2.274586116053228,3.8882217806792654,64.14249894581972,1.1854348666838712,3.809545326344516,9.842298790622175,3.811786096262925,1.7906355861823775,33.458424102433554,35.48840590630968,17.09719622675484,10.85018974947742,155,cpfl,2869.1715471810003
9,245.0,865.5757575757576,368.635598498586,323.8650568181818,173.4848484848485,155.07091188361343,157599.12121212122,41263.53751684256,1.2350980393665338,1.591278493221087,0.829497238989579,0.8137606466239624,2.779757575757576,2.672090909090909,2.1533333333333333,1.7017170440679588,2.122150310691688,3.458440759138736,61.58788471441955,1.1434490215541564,3.313590598933779,9.257626581514833,3.3021011945766428,1.937421475227849,27.56177433502966,26.845264883727275,14.834385597242424,10.540409453757576,33,cpfl,953.964240503
