biol_repl,label,age,maximum,mean,median,minimum,sigma,sum,variance,flatness,elongation,sphericity,solidity,bbox_3_rescaled,bbox_4_rescaled,bbox_5_rescaled,equivalent_ellipsoid_diameter_0_rescaled,equivalent_ellipsoid_diameter_1_rescaled,equivalent_ellipsoid_diameter_2_rescaled,equivalent_spherical_perimeter_rescaled,equivalent_spherical_radius_rescaled,feret_diameter_rescaled,perimeter_2d_rescaled,major_axis_length_2d_rescaled,minor_axis_length_2d_rescaled,surface_area_rescaled,bbox_volume_rescaled,convex_volume_rescaled,volume_rescaled,summed_volume_mean
1.0,83.0,8.0,572.0724867724867,276.99993919697664,253.90225177744708,153.51402116402116,89.20779870915692,89571.47037037037,12483.49298592296,1.729284789264504,1.908191475612927,0.8245821577551604,0.799189168111739,2.477785978835979,1.7839341269841271,3.818620502645503,1.2989017753628995,2.264235339319878,4.126035203868851,57.26307886078549,1.135133679443518,3.933802410267775,6.96199563967319,2.731891052217001,1.4041122071378238,29.53079546937553,30.166599469545503,13.21852857082434,8.93809981144656,828.6291527743334
2.0,74.33333333333333,8.0,642.0016110930089,293.9215377274697,264.76749928157017,153.49225227182217,105.1433258966814,100047.01995764092,16892.070743716788,1.6653108891702155,2.047539809910853,0.8454944075676222,0.8070729706804181,2.103318091307339,1.95198017812534,4.15330569132182,1.355696944654946,2.24435532536934,4.347767761079921,59.33685444104697,1.1690915787412244,4.117961814550187,6.532768063445976,2.525267966915342,1.426223283713922,28.903282597968783,25.22475260521499,12.44262941100106,9.116965118910477,808.9830631133335
3.0,83.0,8.0,623.8708481946434,291.9648481036381,263.8951757642458,157.2051726720401,100.65520110882072,82353.44296299417,14736.39105290283,1.7052814929657696,2.078262258217022,0.7946622358201784,0.8074135297440787,2.049801644807669,1.8656148264386208,4.096595792259949,1.292356535565803,2.1794416774534024,4.324548079392292,55.54557901389425,1.1387536983062396,4.040329301377295,6.2901697403626935,2.4416287430257824,1.3565615853633302,26.698815491449768,21.851103778744733,10.956077132397189,8.114210887707614,672.1905646046667
4.0,85.66666666666667,8.0,510.61207595870206,233.01002809090565,210.6454935529591,123.95449852507376,80.45853735924008,79526.65019358408,10597.40831728095,1.6981949940455252,2.008855616673668,0.828929468748007,0.8045126857545745,2.1776089509587018,2.0060003134218287,4.126601908185841,1.3539177812491794,2.284383244930707,4.34161067999051,60.330089269807125,1.1740222694006528,4.13730091736031,6.858061765455344,2.6314439936148,1.437464663037115,29.95620826132623,28.43075476262124,13.691869926411854,9.46892351017806,832.0214449856667
5.0,146.33333333333334,10.0,426.18866900627904,223.9603243209261,207.40750546786808,130.20490806654328,66.52274922114076,43070.95082206404,6669.229486916823,1.6236265262169944,1.9563480232350687,0.895149287221698,0.832075468869669,1.6838145281227044,1.7943543232914303,3.3513989807071565,1.2207302616909212,1.9496739686088544,3.609782099469218,43.972786004273125,1.0136143072759598,3.286423966729831,5.561891927942576,2.1543430842977163,1.2458109268050876,19.189221416875537,14.266504124087476,7.558344982977883,5.741588283631383,870.5160986553334
6.0,166.66666666666666,10.0,444.0973399235415,234.7821417463568,217.30821286110867,138.0782920740496,69.76719038776604,42249.31323449184,7139.49765324716,1.6739454081557554,2.0571147422813247,0.9929729508735016,0.8459045730021967,1.445836521042075,1.785848908273336,3.38265597886855,1.1464613759957365,1.8938409349559568,3.66044310027048,41.65676076081507,0.9874519331850764,3.2797096145125315,5.149347147249332,2.033762600718512,1.1454030568799027,17.11263031180122,11.779800129723066,6.650700724589786,5.277719419515833,881.4905009416667
7.0,214.33333333333331,10.0,296.68312668302826,156.58286137536396,145.24337050475668,90.57619786163092,46.13437722398481,29081.355276329094,3095.411319803168,1.6955660908238082,2.034816248547553,0.9016011679946886,0.8342193002291781,1.4885061860875346,1.9000357055510104,3.4625305207587687,1.1710580419597854,1.966283418307848,3.741002226681709,43.664507213955176,1.0128498620932882,3.3749188137574264,5.40325126465028,2.1490887254104245,1.1761404319724769,18.805765269289857,12.986054222311507,7.247627341172067,5.646303876156679,1241.7474406830001
8.0,203.0,12.0,708.9488042954936,327.1627662671913,294.6137734566125,173.74924200765938,115.35772162647253,97428.12846530275,20513.21363431265,1.6773839305576337,1.8726925858070609,0.8274556363462642,0.8004456328732562,2.315657937596078,1.87853384436412,3.705385146869417,1.3143768002463676,2.200139688410811,3.976356198742231,54.73701527291802,1.1163988417501682,3.8038473364904735,6.773310886394533,2.672986056260067,1.4043897200631763,27.737735132318733,27.493027022861767,12.148406532271496,8.218801846037424,1837.5328012430002
9.0,199.33333333333331,12.0,802.8680973814113,351.6899188016844,312.2813476953293,175.0145862254601,134.62487689871068,125284.87224627168,27550.67341057961,1.6394691800622343,1.7982550355028648,0.826662138452844,0.8005786629336537,2.2392849928764065,2.251480714418857,3.629431321390724,1.4039842587719755,2.3097756178604096,3.9621347018880986,59.79984271982163,1.1588543188487108,3.807036660823273,7.248913580488646,2.8238046811019664,1.498450311939317,30.2549488917461,31.855410650183785,13.854024238288735,9.532479335913385,2130.8312844553334
10.0,159.66666666666666,12.0,367.0776707755521,200.0700062437843,186.46540609894296,119.93901247645952,56.16182917980956,39004.644993365866,4832.335376313535,1.689114447370095,2.0632647540773865,0.9548787872775306,0.8370750147606912,1.5705743665468244,1.8003653853150148,3.458829857366033,1.151649135075871,1.926642293146564,3.730469202852216,43.38453167604208,1.0005181181702745,3.3724857525726537,5.349196242230078,2.1090501284926595,1.1685687904445563,19.1828693143786,14.767607474182528,7.450016012608505,5.7224166405856565,925.455506621
